"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.405733333E-2,-4.585146779E-1,1.065348074E-1,-1.649184371E0,1.715049406E0
2.399333334E-2,5.024515334E-1,2.254686356E-1,-1.740714930E0,1.825755218E0
3.393033333E-2,1.097448118E0,6.396330598E-1,-1.294609213E0,1.813707760E0
4.386633333E-2,1.290835713E0,9.980787814E-1,-1.254429486E0,2.058157289E0
5.380233334E-2,1.405949847E0,1.065588102E0,-1.792475068E0,2.514983071E0
6.373833334E-2,1.047883610E0,1.145687355E0,-1.806743444E0,2.382221956E0
7.367433334E-2,7.304116675E-1,9.550213471E-1,-1.465386502E0,1.895501142E0
8.361133334E-2,6.981189573E-1,6.593951869E-1,-1.528997192E0,1.805548256E0
9.354733334E-2,3.783151451E-1,3.468977630E-1,-1.880252885E0,1.949053954E0
1.034833333E-1,-1.715584767E-1,7.966889799E-2,-2.354174391E0,2.361761315E0
1.134193333E-1,-5.537836549E-1,8.002587050E-2,-2.818737429E0,2.873736447E0
1.233563333E-1,-9.156935593E-1,3.742583469E-1,-3.405184507E0,3.545961863E0
1.332923333E-1,-8.057056788E-1,6.488374543E-1,-3.859799092E0,3.996023113E0
1.432283333E-1,-4.515021122E-1,1.065266213E0,-4.006360137E0,4.170080073E0
1.531643333E-1,-9.071209565E-1,1.918257447E0,-3.953397812E0,4.486862414E0
1.631003333E-1,-9.476541477E-1,2.209233902E0,-3.988089927E0,4.656567844E0
1.730373333E-1,-8.916214496E-1,2.000174600E0,-3.720951110E0,4.317541476E0
1.829733333E-1,-7.680814773E-1,1.726747102E0,-3.878101462E0,4.314078773E0
1.929093333E-1,-7.418450207E-1,1.576882526E0,-4.515681857E0,4.840276352E0
2.028453333E-1,-6.842534548E-1,1.481445149E0,-4.774707663E0,5.045861253E0
2.127823333E-1,-4.027237621E-1,1.493424340E0,-4.571013474E0,4.825626059E0
2.227183333E-1,-3.784820831E-1,1.581438092E0,-4.166815921E0,4.472868212E0
2.326543333E-1,-6.933055294E-1,1.609236486E0,-3.125956571E0,3.583562349E0
2.425903333E-1,-6.643729216E-1,1.437682248E0,-1.607618269E0,2.256714010E0
2.525273333E-1,4.998843133E-1,1.260756174E0,-3.287772417E-2,1.356639746E0
2.624633333E-1,2.608987863E0,1.375361162E0,1.713090345E0,3.410735188E0
2.723993333E-1,4.436063830E0,1.466261684E0,3.471825224E0,5.820838085E0
2.823353333E-1,5.669511752E0,1.668153031E0,4.582820172E0,7.478525173E0
2.922723333E-1,6.480342808E0,1.511656104E0,5.024746299E0,8.338346506E0
3.022083333E-1,6.799137683E0,1.424541947E0,5.437053355E0,8.821515866E0
3.121443333E-1,6.868415494E0,1.308831688E0,5.939668318E0,9.174302781E0
3.220803333E-1,6.751290502E0,6.839467683E-1,6.763834534E0,9.581083666E0
3.320163333E-1,7.335874658E0,5.529603669E-1,7.694127129E0,1.064520617E1
3.419533333E-1,8.658144709E0,1.823144299E-1,8.150940852E0,1.189262566E1
3.518893333E-1,9.503470244E0,-1.141815037E0,7.505612311E0,1.216363040E1
3.618253333E-1,1.091756673E1,-9.677175526E-1,7.431852610E0,1.324243836E1
3.717613333E-1,1.319007189E1,-4.329336941E-2,7.827219697E0,1.533770644E1
3.816983333E-1,1.442461792E1,-2.917729182E-1,8.221551243E0,1.660568090E1
3.916343333E-1,1.566705067E1,-6.806327127E-1,8.879853585E0,1.802141885E1
4.015703333E-1,1.627768008E1,-8.177116205E-1,9.493667972E0,1.886163441E1
4.115063333E-1,1.585857271E1,-1.637864892E0,9.839319109E0,1.873470390E1
4.214433333E-1,1.470073513E1,-2.778351295E0,9.532061960E0,1.773953366E1
4.313793333E-1,1.313089105E1,-3.713217290E0,8.732599061E0,1.620082000E1
4.413153333E-1,1.181113354E1,-4.710824201E0,7.670975078E0,1.485054204E1
4.512513333E-1,1.061530193E1,-5.953486458E0,6.259484117E0,1.368611623E1
4.611883333E-1,9.682268159E0,-7.087927571E0,5.138461779E0,1.305330699E1
4.711243333E-1,9.650394986E0,-7.711311511E0,4.555506950E0,1.316613429E1
4.810603333E-1,9.575627809E0,-8.063447210E0,4.082606952E0,1.316736528E1
4.909963333E-1,8.678445657E0,-8.423749130E0,3.770453053E0,1.266851549E1
5.009323333E-1,7.751797632E0,-8.887971275E0,3.336254021E0,1.225630412E1
5.108693333E-1,7.025262961E0,-9.730429920E0,2.413242379E0,1.224170433E1
5.208053333E-1,6.045067304E0,-1.075743722E1,1.533417394E0,1.243449489E1
5.307413333E-1,4.763052408E0,-1.162121832E1,1.046757729E0,1.260297922E1
5.406773333E-1,3.413959424E0,-1.235050527E1,8.457880497E-1,1.284155197E1
5.506143333E-1,2.135565709E0,-1.305401653E1,8.276352225E-1,1.325341347E1
5.605503333E-1,1.133759620E0,-1.380266830E1,9.172882412E-1,1.387949858E1
5.704863333E-1,2.789817685E-1,-1.440489175E1,1.025321398E0,1.444403064E1
5.804223333E-1,-6.660247600E-1,-1.452586596E1,1.135885887E0,1.458542449E1
5.903593333E-1,-1.430752567E0,-1.450441253E1,1.185313058E0,1.462292730E1
6.002953333E-1,-1.954065065E0,-1.454325324E1,1.177449065E0,1.472110633E1
6.102313333E-1,-2.596935290E0,-1.451185019E1,1.163091227E0,1.478819292E1
6.201673333E-1,-3.321383967E0,-1.428993315E1,1.081971708E0,1.471069147E1
6.301043333E-1,-4.232238370E0,-1.411265376E1,1.085816252E0,1.477355186E1
6.400403333E-1,-5.470743842E0,-1.413566138E1,1.065099567E0,1.519474903E1
6.499763333E-1,-6.858843017E0,-1.413360901E1,8.241381490E-1,1.573155539E1
6.599123333E-1,-8.057729217E0,-1.379704328E1,6.202708822E-1,1.598968853E1
6.698483333E-1,-8.875982729E0,-1.309835948E1,5.818166685E-1,1.583314880E1
6.797853333E-1,-9.384576470E0,-1.222071814E1,5.698164278E-1,1.541884944E1
6.897213333E-1,-9.956080989E0,-1.155329589E1,6.481457287E-1,1.526506756E1
6.996573333E-1,-1.079104818E1,-1.132179995E1,5.223299835E-1,1.564936751E1
7.095933333E-1,-1.129173824E1,-1.141910931E1,4.625726455E-1,1.606590749E1
7.195303333E-1,-1.173402397E1,-1.135890404E1,5.560783216E-1,1.634078464E1
7.294663333E-1,-1.229060874E1,-1.135525654E1,5.726903343E-1,1.674302507E1
7.394023333E-1,-1.306564781E1,-1.158785527E1,8.154200236E-1,1.748297608E1
7.493383333E-1,-1.354579310E1,-1.193078395E1,1.576192408E0,1.811950603E1
7.592753333E-1,-1.364966304E1,-1.234531996E1,2.217673481E0,1.853748369E1
7.692113333E-1,-1.339326263E1,-1.285289570E1,2.408938828E0,1.871842403E1
7.791473333E-1,-1.290630183E1,-1.325581096E1,2.026985838E0,1.861176571E1
7.890833333E-1,-1.205611668E1,-1.358916073E1,1.398907753E0,1.822010377E1
7.990203333E-1,-1.086986982E1,-1.398193223E1,8.204438782E-1,1.772911806E1
8.089563333E-1,-9.499305857E0,-1.439873112E1,3.085692279E-1,1.725269500E1
8.188923333E-1,-8.093379107E0,-1.472799953E1,-1.214028150E-1,1.680569826E1
8.288283333E-1,-6.639709840E0,-1.490159401E1,-5.104595876E-1,1.632188162E1
8.387653333E-1,-5.236268156E0,-1.505835552E1,-7.543199822E-1,1.596062573E1
8.487013333E-1,-3.988845972E0,-1.532196554E1,-8.079670894E-1,1.585327509E1
8.586373333E-1,-3.024246886E0,-1.560635423E1,-6.777578560E-1,1.591111930E1
8.685733333E-1,-2.098566867E0,-1.606359480E1,-3.886714411E-1,1.620475629E1
8.785103333E-1,-9.515092170E-1,-1.654788459E1,-5.373013772E-2,1.657530516E1
8.884463333E-1,4.229063040E-1,-1.696606459E1,3.066221416E-2,1.697136228E1
8.983823333E-1,2.240413302E0,-1.678561601E1,-4.631126359E-2,1.693453575E1
9.083183333E-1,4.624746462E0,-1.570806655E1,-6.172262371E-2,1.637484181E1
9.182543333E-1,6.881878123E0,-1.444001480E1,2.866503918E-1,1.599863877E1
9.281920000E-1,8.507255555E0,-1.316933532E1,1.012545670E0,1.571082552E1
9.381280000E-1,1.005679460E1,-1.255448539E1,1.932266207E0,1.620147752E1
9.480640000E-1,1.160972854E1,-1.241111517E1,3.134960114E0,1.728148001E1
