"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.447385000E-1,1.059427768E-2,-2.482516097E0,1.923710561E-1,2.489980930E0
7.546965000E-1,8.757339799E-1,-2.196807107E0,8.354998738E-1,2.508172942E0
7.646545001E-1,1.649261554E0,-1.968480352E0,8.156947696E-1,2.694501165E0
7.746125000E-1,1.943827906E0,-1.570942193E0,3.480537575E-1,2.523384180E0
7.845715000E-1,1.618833228E0,-1.082966904E0,-6.654789224E-2,1.948811679E0
7.945295001E-1,1.313395733E0,-4.569932324E-1,-2.352466419E-2,1.390828737E0
8.044875000E-1,1.549901572E0,2.907832038E-1,4.425878857E-1,1.637874779E0
8.144455000E-1,2.181099147E0,9.209534222E-1,1.156524292E0,2.634937785E0
8.244045000E-1,3.046236802E0,1.323695603E0,1.894917701E0,3.823930151E0
8.343625000E-1,4.007279320E0,1.612717041E0,2.510916023E0,4.996382999E0
8.443205000E-1,4.784252073E0,1.752693536E0,3.001665816E0,5.913628345E0
8.542795000E-1,5.421292185E0,1.936873813E0,3.288342228E0,6.629863025E0
8.642375000E-1,6.229955678E0,2.548624717E0,3.475086216E0,7.575226723E0
8.741955000E-1,7.133928201E0,3.512508397E0,3.722169085E0,8.779817168E0
8.841535000E-1,8.227745783E0,4.565483762E0,3.928109189E0,1.019654277E1
8.941125000E-1,9.355600008E0,5.455269771E0,3.977857592E0,1.153735545E1
9.040705001E-1,1.035875885E1,6.059386550E0,3.876525053E0,1.261140344E1
9.140285000E-1,1.096246048E1,6.272945577E0,3.795679403E0,1.318834971E1
9.239865000E-1,1.099388809E1,6.161892918E0,3.707783765E0,1.313705295E1
9.339455001E-1,1.048350569E1,5.855131028E0,3.609466342E0,1.253852855E1
9.439035000E-1,9.590875009E0,5.542147701E0,3.644105247E0,1.166103716E1
9.538615000E-1,8.361734730E0,5.148204410E0,3.671190720E0,1.048333237E1
