"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.929124989E-3,-3.623004985E-1,9.786724573E-1,-1.187784092E0,1.581104829E0
1.486512501E-2,-6.797607467E-1,9.678972083E-1,-1.212620140E0,1.693914780E0
2.480012499E-2,-7.609937748E-1,8.500255269E-1,-1.125463298E0,1.602598689E0
3.473512499E-2,-5.257228670E-1,6.913449579E-1,-1.086453014E0,1.390943038E0
4.467112498E-2,-2.475424594E-1,6.562862223E-1,-1.131765427E0,1.331496097E0
5.460612499E-2,-3.387759805E-2,8.125401968E-1,-1.219223986E0,1.465563506E0
6.454212501E-2,1.161631250E-1,1.047956700E0,-1.344153841E0,1.708349105E0
7.447712499E-2,1.050042987E-1,1.413804120E0,-1.430054117E0,2.013683880E0
8.441212500E-2,-8.350671798E-2,1.801471594E0,-1.514083284E0,2.354723225E0
9.434812499E-2,-2.228517142E-1,2.011518783E0,-1.602851034E0,2.581666543E0
1.042831250E-1,-2.899023208E-1,1.947525393E0,-1.692471893E0,2.596412837E0
1.142191250E-1,-5.988876146E-1,1.492227853E0,-1.698174098E0,2.338633277E0
1.241541250E-1,-8.183722097E-1,9.924230620E-1,-1.242533911E0,1.788442654E0
1.340891250E-1,-7.153571337E-1,5.951524132E-1,-5.769248879E-1,1.094890200E0
1.440251250E-1,-4.378611428E-1,4.231574419E-1,-3.321306199E-1,6.936103731E-1
1.539601250E-1,1.218436950E-1,3.791781941E-1,-7.573477435E-1,8.556854524E-1
1.638951250E-1,8.482336476E-1,3.389733240E-1,-7.259283149E-1,1.166779822E0
1.738311250E-1,7.465371189E-1,3.061081713E-1,3.064011168E-1,8.630767792E-1
1.837661250E-1,3.316289288E-1,2.143298359E-1,1.999817335E0,2.038426942E0
1.937021250E-1,6.448468758E-1,3.864337116E-1,2.935301088E0,3.030041416E0
2.036371250E-1,3.366236204E-1,9.708064174E-1,3.265996801E0,3.423815951E0
2.135721250E-1,7.486774921E-1,-2.417980085E-1,2.896595444E0,3.001541176E0
2.235081250E-1,1.166177168E0,-1.763024397E0,2.512377242E0,3.283331177E0
2.334431250E-1,9.056440960E-1,-1.590614566E0,2.905169801E0,3.433694439E0
2.433791250E-1,3.223960291E-1,-1.676064021E0,2.843243110E0,3.316196795E0
2.533141250E-1,1.935795294E-1,-1.528261174E0,2.368802370E0,2.825646814E0
2.632491250E-1,1.354270694E-1,-1.063144331E0,1.805076987E0,2.099266369E0
2.731851250E-1,1.387917034E-1,-7.487877852E-1,1.553848443E0,1.730430949E0
2.831201250E-1,7.517545894E-1,-5.185446788E-1,1.492623417E0,1.749842339E0
2.930561250E-1,1.497119195E0,-3.088670339E-1,1.268238271E0,1.986251002E0
3.029911250E-1,1.423554060E0,1.503313297E-1,1.005288398E0,1.749202799E0
3.129261250E-1,7.664800711E-1,5.458393353E-1,9.058892405E-1,1.306165225E0
3.228621250E-1,-8.762520432E-2,1.053518718E0,1.309946460E0,1.683312091E0
3.327977500E-1,-2.690540734E-1,9.382969216E-1,1.247676537E0,1.584136342E0
3.427337500E-1,-6.438597927E-1,4.105040672E-1,9.066470397E-1,1.185359809E0
