"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.256666656E-3,-8.093148726E-1,6.532310522E-1,-1.329182045E0,1.687728142E0
1.519266664E-2,-8.060869172E-1,6.811035597E-1,-1.425121990E0,1.773316347E0
2.512766665E-2,-1.051612964E0,7.479021513E-1,-1.348288407E0,1.866314305E0
3.506266666E-2,-9.805669552E-1,7.410626632E-1,-1.260007730E0,1.760200246E0
4.499866665E-2,-6.335548791E-1,6.488807237E-1,-1.376008303E0,1.647979620E0
5.493366666E-2,-3.524346377E-1,6.557500327E-1,-1.317968255E0,1.513690391E0
6.486966665E-2,-2.007240229E-1,6.861713415E-1,-1.028633991E0,1.252680778E0
7.480466666E-2,3.142707382E-1,3.874335855E-1,-1.124653459E0,1.230331777E0
8.473966666E-2,4.217618943E-1,-4.147430062E-3,-1.388980935E0,1.451608878E0
9.467566665E-2,4.163176614E-1,-1.418885350E-1,-1.284000610E0,1.357243647E0
1.046106667E-1,1.658173441E0,-2.859946266E-1,-1.417797768E0,2.200336929E0
1.145466666E-1,2.852102811E0,-3.304694259E-1,-1.430996103E0,3.208029042E0
1.244816667E-1,2.197570022E0,-5.525884840E-1,-1.085126281E0,2.512402651E0
1.344166667E-1,3.137175185E-1,-4.941575503E-1,-7.231333458E-1,9.303398314E-1
1.443526667E-1,-1.361847954E0,-1.456149656E-1,4.273928726E-1,1.434746750E0
1.542876667E-1,-1.652556752E0,-3.810148045E-1,1.202553574E0,2.079002453E0
1.642236667E-1,-7.823763116E-1,-5.768728477E-1,2.213982718E0,2.417977347E0
1.741586667E-1,5.840751556E-1,-8.180523670E-1,2.792071202E0,2.967493060E0
1.840936667E-1,1.726151270E0,-9.750486454E-1,2.998297820E0,3.594455159E0
1.940296667E-1,2.078174703E0,-1.010004470E0,2.961289623E0,3.756082448E0
2.039646667E-1,2.620407183E0,-8.184070006E-1,2.943339840E0,4.024869344E0
2.139006667E-1,2.863616563E0,-7.235560995E-1,2.724959784E0,4.018611585E0
2.238356667E-1,2.080713564E0,-6.623644030E-1,2.214631759E0,3.110094752E0
2.337706666E-1,9.144545344E-1,-7.619354689E-1,5.271627438E-1,1.301796187E0
2.437066667E-1,4.287690148E-2,3.115045667E-1,-1.287160445E0,1.325011523E0
2.536416667E-1,-5.549463737E-1,9.877537680E-1,1.399746829E0,1.800809309E0
2.635776667E-1,-8.894460661E-1,1.345593718E0,1.818656561E0,2.430894577E0
2.735126667E-1,4.489917928E-1,2.605111744E0,2.972718590E-1,2.660182585E0
2.834476666E-1,7.272587027E-1,2.317192799E0,-8.534069717E-2,2.430138004E0
2.933836667E-1,-3.844031198E-1,1.443230817E0,-8.816665649E-2,1.496146487E0
3.033186666E-1,-3.394800583E-1,1.615427810E0,-4.133922994E-1,1.701689429E0
3.132546667E-1,-1.422359327E-1,1.881073249E0,3.456996685E-1,1.917857109E0
3.231896667E-1,2.375133882E-1,1.570265670E0,1.868370758E0,2.452132984E0
3.331246666E-1,9.191757225E-1,1.050642473E0,3.294777381E0,3.578308484E0
3.430606667E-1,1.405432369E0,7.290988214E-1,4.261843116E0,4.546441683E0
3.529956666E-1,1.698473767E0,2.895041254E-1,4.779808189E0,5.080865291E0
3.629316667E-1,1.372317394E0,-5.812103122E-2,4.846689811E0,5.037562428E0
3.728671666E-1,8.204356190E-1,-1.655802834E-1,4.201629658E0,4.284182912E0
3.828021667E-1,3.692566386E-1,-1.300318435E-1,3.263115293E0,3.286514896E0
3.927381666E-1,-6.303880271E-1,7.116792351E-2,2.726060815E0,2.798903625E0
4.026731667E-1,-6.890350154E-1,-4.427862525E-1,1.629568132E0,1.823820499E0
4.126091667E-1,-1.290144280E-1,-4.413095382E-1,9.616804487E-1,1.065940015E0
4.225441666E-1,1.319788494E0,-3.224508467E-1,5.663823581E0,5.824492576E0
4.324791667E-1,2.921584982E0,-9.826778001E-1,8.161338370E0,8.724033383E0
4.424151666E-1,-2.830334504E-1,-9.989915317E-1,3.904986375E0,4.040669574E0
4.523501667E-1,-1.293742218E0,-2.481195211E0,3.962928189E0,4.851278020E0
4.622861667E-1,-8.039294408E-1,-2.909582695E0,3.862802807E0,4.902368767E0
4.722211667E-1,-1.530949285E0,-3.854070575E0,3.564912897E0,5.468662513E0
4.821561667E-1,-1.818218458E0,-4.264921675E0,2.971896472E0,5.507054012E0
4.920921666E-1,-1.045410823E0,-3.032327153E0,2.851192984E0,4.291525741E0
5.020271667E-1,-1.071142957E0,-2.393307467E0,2.954497497E0,3.950230794E0
5.119631666E-1,-2.969552323E-1,-2.721375441E0,2.228393766E0,3.529844965E0
5.218981667E-1,-3.306815337E-1,-3.318646300E0,1.784257976E0,3.782372281E0
5.318331667E-1,-1.302016612E0,-4.120037611E0,2.065087464E0,4.789002340E0
5.417691667E-1,-2.745189396E0,-5.359958986E0,2.350236291E0,6.464428496E0
5.517041667E-1,-3.870499497E0,-6.700062461E0,2.473923029E0,8.123539776E0
5.616401666E-1,-4.446189453E0,-7.393189650E0,2.759462450E0,9.057730779E0
5.715751667E-1,-4.954779686E0,-7.370446905E0,3.126192799E0,9.415222288E0
5.815101667E-1,-3.729123763E0,-5.876507864E0,3.671795322E0,7.869039941E0
5.914461667E-1,-9.825193405E-1,-3.848068993E0,3.747521442E0,5.460484978E0
6.013811667E-1,2.958913314E-1,-4.767197499E0,3.640709184E0,6.005704542E0
6.113171667E-1,4.727298439E-2,-7.249625888E0,2.713596890E0,7.740989493E0
6.212521667E-1,-7.178619348E-1,-8.126262678E0,9.154412520E-1,8.209111009E0
6.311871667E-1,-1.751806075E0,-7.981367505E0,-9.741443735E-1,8.229216793E0
6.411231667E-1,-2.205045834E0,-7.682264882E0,-2.626984423E0,8.413112861E0
6.510581667E-1,-2.130872003E0,-7.289357718E0,-3.094873942E0,8.200828992E0
6.609941667E-1,-2.019546133E0,-7.278961954E0,-2.708497826E0,8.024824869E0
6.709291667E-1,-1.634497919E0,-8.076732084E0,-2.007896433E0,8.481558388E0
6.808641667E-1,-1.572708052E0,-9.139461190E0,-1.384975008E0,9.376636776E0
6.908001667E-1,-1.316434677E0,-9.942413707E0,-1.346160606E0,1.011912738E1
7.007351667E-1,-7.801942769E-1,-1.005180809E1,-1.880046186E0,1.025583360E1
7.106711667E-1,-1.047231938E-1,-9.486107522E0,-2.769277878E0,9.882616194E0
7.206061667E-1,8.279154503E-1,-8.480653648E0,-4.018401016E0,9.420959453E0
7.305411666E-1,2.068198476E0,-7.571433833E0,-5.641702979E0,9.666067853E0
7.404771667E-1,3.097883796E0,-7.360962136E0,-7.401225479E0,1.088847033E1
7.504121667E-1,3.665877939E0,-7.050405988E0,-8.804135651E0,1.186000380E1
7.603481667E-1,4.354689299E0,-6.455396247E0,-9.024917743E0,1.191992449E1
7.702831667E-1,5.325044677E0,-6.035709420E0,-8.779173303E0,1.191049004E1
7.802181666E-1,5.499885780E0,-5.410175459E0,-8.030074811E0,1.113556660E1
7.901541667E-1,5.666460090E0,-5.224399477E0,-7.278691227E0,1.060105966E1
8.000891666E-1,7.136197506E0,-4.690448701E0,-7.223839667E0,1.118523506E1
8.100251667E-1,9.067260940E0,-2.893784103E0,-8.048737954E0,1.246480606E1
8.199601667E-1,9.962148060E0,-1.537801929E0,-9.682849957E0,1.397736785E1
8.298951667E-1,1.031118590E1,-1.524278489E0,-1.129388066E1,1.536866032E1
8.398311667E-1,9.476996391E0,-2.459719557E0,-1.227635790E1,1.570263176E1
8.497661666E-1,8.004330690E0,-4.058693887E0,-1.247532929E1,1.536802352E1
8.597021667E-1,7.031110761E0,-5.589843439E0,-1.112385415E1,1.429765713E1
8.696371666E-1,6.556832575E0,-6.537948407E0,-8.775612348E0,1.275728007E1
8.795721667E-1,7.446576483E0,-6.313672603E0,-5.741144822E0,1.132584244E1
8.895081667E-1,8.415042041E0,-5.138419679E0,-3.185168108E0,1.036154357E1
8.994431667E-1,8.315069856E0,-4.274251784E0,-2.193097925E0,9.603087709E0
9.093791667E-1,7.743648368E0,-3.825594927E0,-3.160723238E0,9.197251653E0
9.193141666E-1,6.516456966E0,-3.901572770E0,-5.623069657E0,9.450153112E0
9.292491667E-1,4.558305135E0,-5.329374540E0,-8.228069134E0,1.081117479E1
9.391851666E-1,3.366475940E0,-6.411062658E0,-1.023676254E1,1.253898688E1
9.491201667E-1,4.604989890E0,-6.651718851E0,-1.050920771E1,1.326253152E1
9.590561667E-1,7.790275819E0,-5.581640965E0,-9.160770198E0,1.325755723E1
9.689911667E-1,1.079117448E1,-4.448559622E0,-7.840340849E0,1.406094143E1
9.789261667E-1,1.290284964E1,-4.175289414E0,-6.697034188E0,1.512504008E1
9.888621666E-1,1.401539468E1,-4.551939856E0,-5.776685368E0,1.582787220E1
9.987971667E-1,1.451129236E1,-5.639060622E0,-5.696876721E0,1.657802808E1
1.008733167E0,1.498144826E1,-7.791102616E0,-6.371740133E0,1.804838343E1
1.018668167E0,1.626137453E1,-1.102440120E1,-6.606618108E0,2.072720739E1
1.028603167E0,1.865049539E1,-1.528927376E1,-3.792218728E0,2.441277930E1
1.038539167E0,2.026006897E1,-1.975406496E1,2.948466679E0,2.844972641E1
1.048474167E0,2.057506549E1,-2.061172987E1,1.074352552E1,3.104190827E1
1.058410167E0,1.783868317E1,-2.103040923E1,1.686895988E1,3.232736514E1
