"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.242208354E-3,-1.044495806E-1,2.211574835E-1,-7.612899363E-2,2.561561459E-1
1.917820834E-2,7.011177018E-3,2.888799351E-1,-4.375266820E-1,5.243380312E-1
2.911320835E-2,-2.186681410E-1,4.042718124E-1,-6.837874317E-1,8.239033354E-1
3.904920834E-2,-3.573359200E-1,4.643367505E-1,-7.881988227E-1,9.821175906E-1
4.898420835E-2,-3.799748772E-1,4.317364767E-1,-5.965493131E-1,8.286424896E-1
5.892020834E-2,-5.254434797E-1,5.299968892E-1,-4.536427778E-1,8.733723849E-1
6.885620835E-2,-6.587471692E-1,6.219943491E-1,-5.452230388E-1,1.057399151E0
7.879120833E-2,-6.356340759E-1,7.030417281E-1,-7.343851429E-1,1.199007877E0
8.872720835E-2,-5.615550796E-1,7.124569148E-1,-9.672563535E-1,1.326093442E0
9.866220833E-2,-6.166178343E-1,5.917888024E-1,-9.656922233E-1,1.289570863E0
1.085982083E-1,-8.790063742E-1,5.242063916E-1,-5.795742613E-1,1.176159373E0
1.185332084E-1,-1.200964739E0,3.066741818E-1,-1.622742677E-1,1.250079316E0
1.284692083E-1,-1.317888733E0,2.522450826E-1,4.436142182E-1,1.413241617E0
1.384042084E-1,-1.358712677E0,7.088962528E-1,1.039764751E0,1.851957012E0
1.483402083E-1,-1.253222913E0,9.357474625E-1,1.174997401E0,1.956223371E0
1.582762083E-1,-8.260835908E-1,7.294804984E-1,7.300798380E-1,1.321957816E0
1.682112083E-1,-1.654444453E-1,3.328968975E-1,-1.177541524E-1,3.899464697E-1
1.781472084E-1,1.987108631E-1,2.496477494E-1,-7.922059196E-1,8.540493106E-1
1.880822083E-1,5.343729454E-1,2.137879452E-1,-1.408528177E0,1.521581860E0
1.980182083E-1,4.693187975E-1,3.075781614E-2,-1.913601310E0,1.970552245E0
2.079532083E-1,1.458514854E-1,-4.297112936E-1,-2.300816794E0,2.345140160E0
2.178892083E-1,2.120411992E-1,-7.195940262E-1,-2.520664501E0,2.629929003E0
2.278252083E-1,3.369118150E-1,-9.484183788E-1,-2.506880275E0,2.701380333E0
2.377602083E-1,1.095603760E0,-1.540137892E0,-1.237226978E0,2.259004852E0
2.476962083E-1,2.222739508E0,-1.336977553E0,-1.287933447E0,2.896006296E0
2.576312083E-1,2.802361132E0,-2.428012446E-1,-2.091112252E0,3.504986563E0
2.675672083E-1,2.659458982E0,-1.378618792E0,-1.852413121E0,3.522037226E0
2.775022083E-1,2.201871088E0,-2.948917499E0,-3.967984861E-1,3.701594216E0
2.874382084E-1,3.445031089E-1,-1.854693828E0,-1.469703501E-1,1.892134211E0
2.973732083E-1,-1.377673297E0,5.357014328E-2,-4.907860458E-2,1.379587686E0
3.073092084E-1,-2.352488200E0,1.588351401E0,4.321191770E-1,2.871199730E0
3.172452083E-1,-2.465513563E0,2.092069149E0,1.433669450E0,3.537077684E0
3.271802083E-1,-1.879937135E0,1.594476652E0,2.290563701E0,3.364996507E0
3.371162083E-1,-7.987571400E-1,6.561265934E-1,2.180440165E0,2.413054991E0
