"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.456750001E-3,-3.582884315E-1,1.548073733E-1,-2.390079803E0,2.421738506E0
1.439175000E-2,-3.477537954E-1,7.227304727E-2,-2.466925081E0,2.492363427E0
2.432775000E-2,-4.586392236E-1,2.924163312E-2,-2.138472944E0,2.187297772E0
3.426375000E-2,-7.300608346E-1,-7.103694588E-2,-1.772246625E0,1.918044100E0
4.419975000E-2,-1.006130397E0,-2.733704880E-1,-1.452057774E0,1.787596593E0
5.413475000E-2,-1.105691523E0,-5.012972930E-1,-1.160586938E0,1.679528136E0
6.407075000E-2,-5.325570926E-1,-8.615462959E-1,-1.824756961E0,2.087011510E0
7.400675000E-2,-1.319222483E-1,-1.429551841E0,-3.211567994E0,3.517838957E0
8.394274999E-2,-1.109834568E0,-1.307517819E0,-3.249956135E0,3.674717743E0
9.387775000E-2,-1.405997502E0,-1.307451746E0,-3.840772837E0,4.293925364E0
1.038137500E-1,-3.458579234E0,-4.543105298E-1,-1.462091596E0,3.782311491E0
1.137497500E-1,-4.121877145E0,3.061833081E-1,9.773281825E-1,4.247209648E0
1.236857500E-1,-2.964383969E0,3.750725716E-1,8.902362442E-1,3.117815312E0
1.336207500E-1,-2.306685644E0,7.674809682E-1,3.627536577E-1,2.457929192E0
1.435567500E-1,-7.614080501E-1,4.114437148E-1,-1.462325485E0,1.699242176E0
1.534927500E-1,-7.489031947E-1,6.375301087E-1,-1.587013265E0,1.867059651E0
1.634287500E-1,-1.201800452E0,8.504646528E-1,-9.241039020E-1,1.738269966E0
1.733637500E-1,-8.008592141E-1,6.976318842E-1,-5.270656800E-1,1.185691342E0
1.832997500E-1,-6.247831786E-1,6.282616872E-1,-8.183061361E-2,8.898106636E-1
1.932357500E-1,-1.129512495E0,3.343853062E-1,5.974392593E-2,1.179483508E0
2.031717500E-1,-1.717036631E0,1.138885581E-1,-2.057436383E-1,1.733065446E0
2.131067500E-1,-2.230485899E0,-1.420905563E-1,-8.356741208E-1,2.386128310E0
2.230427500E-1,-2.397648439E0,6.643021703E-3,-1.264273274E0,2.710562502E0
2.329787500E-1,-2.043696011E0,2.052843395E-1,-2.056946386E0,2.906864888E0
2.429147500E-1,-1.604378911E0,2.588087283E-1,-2.516388432E0,2.995534074E0
2.528497500E-1,2.494422197E-2,-1.020169562E-1,-1.584864998E0,1.588340876E0
2.627857500E-1,1.563952432E0,5.565894413E-1,6.436802101E-1,1.780467137E0
2.727217500E-1,2.357707863E0,2.161192009E0,2.810332056E0,4.257640606E0
2.826577500E-1,3.523666053E0,2.771847437E0,4.195371383E0,6.140073429E0
2.925927500E-1,3.699660813E0,1.552091647E0,4.358513963E0,5.923944849E0
3.025287500E-1,4.457613158E0,1.913860926E0,5.290996925E0,7.178288596E0
3.124647500E-1,6.014839538E0,3.502122280E0,5.823803986E0,9.075232669E0
3.223997500E-1,6.283779883E0,3.826957621E0,5.142180024E0,8.976274820E0
3.323357500E-1,6.229363940E0,3.940101536E0,4.906792756E0,8.854715713E0
3.422717500E-1,5.718760511E0,3.879286985E0,4.525160778E0,8.260155529E0
3.522077500E-1,5.754335555E0,3.738965504E0,4.174524013E0,8.032365247E0
3.621427500E-1,7.110917069E0,3.332963208E0,3.944956772E0,8.788428144E0
3.720787500E-1,8.488215267E0,3.032174833E0,4.228188881E0,9.955976288E0
3.820147500E-1,9.874266747E0,2.796898663E0,4.624773359E0,1.125665646E1
3.919507500E-1,1.127031872E1,2.610499953E0,5.011803487E0,1.260765514E1
4.018857500E-1,1.284287591E1,2.594154646E0,5.755010324E0,1.431045925E1
4.118217500E-1,1.436530142E1,2.601125697E0,6.620219901E0,1.602981757E1
4.217577500E-1,1.539272972E1,2.134416731E0,7.036448100E0,1.705882366E1
4.316937500E-1,1.594703407E1,1.116105414E0,7.173964671E0,1.752196781E1
4.416287500E-1,1.572060766E1,-1.429673463E-1,6.959492310E0,1.719280309E1
4.515647500E-1,1.495669349E1,-1.773655951E0,6.402224007E0,1.636572662E1
4.615007500E-1,1.441379472E1,-3.248105491E0,6.042381678E0,1.596302114E1
4.714367500E-1,1.447458588E1,-4.271980433E0,5.801223793E0,1.616841522E1
4.813717500E-1,1.484085547E1,-5.276760709E0,5.967513928E0,1.684358683E1
4.913077500E-1,1.525292045E1,-6.327394849E0,6.489921716E0,1.774278985E1
5.012437500E-1,1.504276100E1,-7.697805612E0,6.732309271E0,1.818969097E1
5.111797500E-1,1.396155586E1,-9.405596625E0,6.468020970E0,1.803401190E1
5.211147500E-1,1.243437540E1,-1.089852702E1,5.608680829E0,1.745992220E1
5.310507500E-1,1.086197257E1,-1.205449583E1,4.390947591E0,1.680992976E1
5.409867500E-1,9.551074181E0,-1.317975155E1,3.149510033E0,1.657854886E1
5.509226250E-1,8.397597458E0,-1.420325402E1,2.106573606E0,1.663399292E1
5.608586250E-1,7.391858824E0,-1.505071204E1,1.351362142E0,1.682229739E1
5.707946250E-1,6.093337238E0,-1.569272930E1,1.151241333E0,1.687352566E1
5.807306250E-1,4.091576581E0,-1.621009679E1,1.247205251E0,1.676495624E1
5.906656250E-1,1.951977755E0,-1.673795886E1,1.354937276E0,1.690577827E1
6.006016250E-1,2.301238963E-1,-1.707533268E1,1.538324085E0,1.714603115E1
6.105376250E-1,-1.352351345E0,-1.705468616E1,1.690310762E0,1.719151897E1
6.204736250E-1,-2.962366095E0,-1.679177429E1,1.693353653E0,1.713495677E1
6.304086250E-1,-4.283783915E0,-1.637572034E1,1.401296926E0,1.698465939E1
6.403446250E-1,-5.494599313E0,-1.593975779E1,8.066409409E-1,1.687948961E1
6.502806250E-1,-6.701205007E0,-1.556696154E1,2.697660450E-1,1.695019805E1
6.602166250E-1,-7.861449298E0,-1.511363977E1,-2.514178477E-2,1.703599496E1
6.701516250E-1,-8.852227830E0,-1.463012416E1,-1.432684779E-2,1.709978584E1
6.800876250E-1,-9.777554385E0,-1.423468281E1,5.228463292E-2,1.726932246E1
6.900236250E-1,-1.050046612E1,-1.385341745E1,1.729267251E-1,1.738409812E1
6.999596250E-1,-1.095636417E1,-1.339333981E1,4.930011173E-1,1.731087858E1
7.098946250E-1,-1.129574709E1,-1.295826253E1,8.188875686E-1,1.720991130E1
7.198306250E-1,-1.170035103E1,-1.281767909E1,8.379551927E-1,1.737507641E1
7.297666250E-1,-1.195835942E1,-1.288033435E1,1.124794815E0,1.761165910E1
7.397026250E-1,-1.195285017E1,-1.285228292E1,1.665532601E0,1.763025247E1
7.496376250E-1,-1.163621409E1,-1.272895695E1,2.209880165E0,1.738710424E1
7.595736250E-1,-1.123949571E1,-1.267894572E1,2.612379248E0,1.714370011E1
7.695096250E-1,-1.086794959E1,-1.279158648E1,2.763361373E0,1.701097231E1
7.794456250E-1,-1.036214790E1,-1.291433591E1,2.620801578E0,1.676373413E1
7.893806250E-1,-9.831072196E0,-1.302317832E1,2.378328362E0,1.648968162E1
7.993166250E-1,-9.295275453E0,-1.327222059E1,2.108351744E0,1.634010808E1
8.092526250E-1,-8.760496711E0,-1.368382481E1,1.890551147E0,1.635749210E1
8.191876250E-1,-8.197535559E0,-1.412844358E1,1.761064264E0,1.642905519E1
8.291236250E-1,-7.569915896E0,-1.438229811E1,1.620582715E0,1.633341403E1
8.390596250E-1,-6.868816613E0,-1.454369529E1,1.490215534E0,1.615303243E1
8.489956250E-1,-6.077144544E0,-1.463289691E1,1.401733128E0,1.590654624E1
8.589306250E-1,-5.288403684E0,-1.472796912E1,1.307872453E0,1.570321045E1
8.688666250E-1,-4.657022800E0,-1.500750345E1,1.255921111E0,1.576357698E1
8.788026250E-1,-3.979495105E0,-1.533871080E1,1.024459080E0,1.587960789E1
8.887386250E-1,-3.161206218E0,-1.565917330E1,7.251237381E-1,1.599152080E1
8.986736250E-1,-2.371624821E0,-1.608590544E1,4.798763108E-1,1.626687552E1
9.086096250E-1,-1.424563581E0,-1.646536518E1,3.107853591E-2,1.652690526E1
9.185456250E-1,-3.042639595E-1,-1.668927962E1,-5.288501772E-1,1.670042854E1
9.284816250E-1,1.404960206E0,-1.682098815E1,-4.855580503E-1,1.688654264E1
9.384166250E-1,3.656785519E0,-1.656472223E1,2.292962229E-1,1.696510182E1
9.483526250E-1,5.930269504E0,-1.582207205E1,1.623676039E0,1.697475727E1
9.582886250E-1,8.774810110E0,-1.458651796E1,3.641375767E0,1.740756778E1
9.682246250E-1,1.153207868E1,-1.268595185E1,5.194000973E0,1.791367799E1
9.781596250E-1,1.367158776E1,-1.037486091E1,5.819277656E0,1.812219753E1
9.880956250E-1,1.457563278E1,-8.061128204E0,5.565745309E0,1.756155972E1
9.980316250E-1,1.451032172E1,-6.342285953E0,5.221346061E0,1.667442600E1
1.007967625E0,1.632113775E1,-5.593610800E0,6.733590395E0,1.852050914E1
1.017902625E0,1.836063956E1,-4.261215709E0,1.000162495E1,2.133784305E1
1.027838625E0,1.911302301E1,-2.889239647E0,1.248479711E1,2.301142137E1
1.037774625E0,1.965315605E1,-2.159465472E0,1.271289933E1,2.350590656E1
1.047710625E0,1.998636548E1,-1.134298879E0,1.113677299E1,2.290784040E1
1.057645625E0,1.998794891E1,5.336604622E-1,8.382480651E0,2.168107186E1
1.067581625E0,1.954792488E1,2.566617184E0,4.895755844E0,2.031446077E1
1.077517625E0,1.927424712E1,3.854183426E0,2.068447567E0,1.976435699E1
1.087453625E0,1.940090600E1,4.259422953E0,7.754325968E-1,1.987810688E1
1.097388625E0,2.001150851E1,4.219805728E0,3.768425238E-1,2.045505423E1
1.107324625E0,2.061818520E1,4.806790166E0,4.978483129E-1,2.117693664E1
1.117260625E0,2.137211583E1,5.849970860E0,8.899573320E-1,2.217614751E1
1.127196625E0,2.237036184E1,6.752177525E0,1.297507678E0,2.340317321E1
1.137131625E0,2.288070683E1,7.309097918E0,1.522862293E0,2.406800297E1
1.147067625E0,2.244335848E1,6.934416525E0,1.562492382E0,2.354212936E1
1.157003625E0,2.110354386E1,5.719531758E0,1.636773655E0,2.192604923E1
1.166939625E0,1.940189301E1,4.345513263E0,1.964360112E0,1.997938058E1
1.176874625E0,1.801273724E1,2.929183731E0,2.332636757E0,1.839782635E1
1.186810625E0,1.713127767E1,1.861973319E0,2.726570692E0,1.744654140E1
1.196746625E0,1.651144591E1,8.873136596E-1,2.983009690E0,1.680218791E1
1.206682625E0,1.592840484E1,-2.760860811E-1,3.341700995E0,1.627750809E1
1.216617625E0,1.536878888E1,-1.520521360E0,3.868782170E0,1.592102799E1
1.226553625E0,1.502179405E1,-2.845542235E0,4.716333155E0,1.599985017E1
1.236489625E0,1.479035190E1,-4.196018378E0,5.883988792E0,1.646154317E1
1.246424625E0,1.462075692E1,-5.634103938E0,6.944474906E0,1.713871033E1
1.256360625E0,1.421559633E1,-7.275276453E0,7.781338935E0,1.776406660E1
1.266296625E0,1.359310760E1,-8.951567931E0,8.115957545E0,1.818713582E1
1.276232625E0,1.306907662E1,-1.057738507E1,7.942396397E0,1.859471697E1
1.286167625E0,1.217899708E1,-1.203490532E1,7.531081613E0,1.870518929E1
1.296103625E0,1.064090104E1,-1.338469646E1,6.996087694E0,1.847495919E1
1.306039625E0,9.164230580E0,-1.480882910E1,6.290017692E0,1.851617844E1
1.315975625E0,8.071409948E0,-1.598120052E1,5.525982488E0,1.873720659E1
1.325910625E0,7.099272923E0,-1.684014012E1,4.790417962E0,1.889280550E1
1.335846625E0,6.142816377E0,-1.752690730E1,4.073556340E0,1.901369332E1
1.345782625E0,5.274432932E0,-1.820397043E1,3.335618721E0,1.924397398E1
1.355718625E0,4.295987931E0,-1.883713501E1,2.710189717E0,1.950995376E1
1.365653625E0,2.950146584E0,-1.903502817E1,2.299980350E0,1.939911266E1
1.375589625E0,1.639348477E0,-1.891855281E1,1.953693182E0,1.908968362E1
1.385525625E0,4.311517552E-1,-1.879754351E1,1.761679976E0,1.888483651E1
