"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.077916666E-3,1.265916342E-1,1.636775994E-1,1.287609512E-1,2.437112655E-1
1.201391665E-2,4.897560588E-1,-1.749141937E-1,-4.955456793E-1,7.183463597E-1
2.194891666E-2,5.070866212E-1,4.838307828E-2,-3.747299248E-1,6.323766917E-1
3.188391667E-2,5.926764098E-1,5.188468337E-1,-6.178594905E-1,1.001108243E0
4.181991666E-2,8.143544416E-1,6.982361940E-1,-8.888522083E-1,1.393113487E0
5.175491667E-2,9.535808855E-1,7.849425083E-1,-8.720502341E-1,1.511926869E0
6.169091666E-2,9.585172512E-1,9.737186962E-1,-6.968302310E-1,1.533771753E0
7.162591667E-2,1.021141954E0,1.204737217E0,-7.114570409E-1,1.732135610E0
8.156091667E-2,1.008720714E0,1.328340923E0,-8.057615197E-1,1.852365707E0
9.149691666E-2,1.149931410E0,1.316450903E0,-8.286808509E-1,1.934450098E0
1.014319167E-1,1.580192050E0,1.160516771E0,-7.859511530E-1,2.112232304E0
1.113669167E-1,1.006185946E0,9.410374385E-1,-9.268310434E-1,1.660414828E0
1.213029167E-1,4.296156916E-1,5.234304661E-1,-8.382942581E-1,1.077629973E0
1.312379166E-1,1.548357323E-1,1.651551908E-1,-5.656140339E-1,6.092368804E-1
1.411739167E-1,1.302248016E-2,8.393707305E-2,-3.432298046E-1,3.535841003E-1
1.511089167E-1,1.025363351E-1,2.165276581E-1,-2.325548762E-1,3.338857547E-1
1.610439167E-1,4.208809016E-1,4.583626503E-1,-4.549987471E-1,7.708832028E-1
1.709799167E-1,8.743864160E-1,7.575617516E-1,-8.407880956E-1,1.430166436E0
1.809149167E-1,1.117721292E0,8.966635036E-1,-1.153122382E0,1.839292678E0
1.908499167E-1,1.377494226E0,1.071613658E0,-1.471752366E0,2.282958870E0
2.007859166E-1,1.474596305E0,1.225811166E0,-1.802567362E0,2.631785777E0
2.107209167E-1,1.741437500E0,1.161277201E0,-1.678713979E0,2.683141802E0
2.206569167E-1,1.436222198E0,9.054831514E-1,-1.159299966E0,2.055872163E0
2.305919167E-1,8.550908236E-1,3.880104133E-1,-5.238432795E-1,1.075241451E0
2.405269167E-1,2.383395997E-1,-6.131185681E-2,9.771691382E-2,2.647895463E-1
2.504629167E-1,-7.936038427E-2,2.136017114E-2,5.314201015E-1,5.377375306E-1
2.603979167E-1,2.461163235E-1,3.709692881E-1,4.584117669E-1,6.390092373E-1
2.703329167E-1,4.802706324E-1,5.792570499E-1,-1.164531469E-2,7.525518079E-1
