"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.254583328E-4,9.685927346E-1,7.692123288E-1,-4.845774722E-1,1.328410636E0
9.509541647E-3,1.245032426E0,8.828658289E-1,-7.127206242E-1,1.684496513E0
1.944554166E-2,1.452115369E0,9.931332064E-1,-1.073052950E0,2.060678346E0
2.938054164E-2,1.623143211E0,1.078238845E0,-1.638368776E0,2.545868248E0
3.931654166E-2,1.660229176E0,1.009914715E0,-2.115288150E0,2.872408851E0
4.925154167E-2,1.434121586E0,1.002063659E0,-2.384384031E0,2.957384572E0
5.918654165E-2,1.088331140E0,1.119771618E0,-2.486736032E0,2.936359862E0
6.912254167E-2,6.453894974E-1,1.179403862E0,-2.249520925E0,2.620661265E0
7.905754165E-2,2.202482414E-1,1.166352877E0,-1.706292372E0,2.078538424E0
8.899354166E-2,7.324922530E-1,1.452258918E0,-9.517173779E-1,1.884507053E0
9.892854164E-2,2.622018676E0,1.775297118E0,-1.116514134E-1,3.168458273E0
1.088645417E-1,1.884603798E0,1.382523270E0,4.134133494E-1,2.373607521E0
1.187995417E-1,1.197672099E0,9.622832966E-1,2.828397614E-1,1.562179865E0
1.287355417E-1,7.198553237E-1,6.457413536E-1,-6.789400899E-1,1.181580818E0
1.386705417E-1,4.246781565E-2,5.820663446E-1,-1.639132422E0,1.739930988E0
1.486055416E-1,-1.693538571E-1,6.682937720E-1,-1.984892902E0,2.101213251E0
1.585415417E-1,7.250262357E-2,6.390378132E-1,-1.918712946E0,2.023631717E0
1.684765416E-1,3.632409135E-1,6.968582976E-1,-1.556679080E0,1.743790471E0
1.784125417E-1,4.755338396E-1,8.543942741E-1,-8.498641437E-1,1.295527333E0
1.883475417E-1,6.402397815E-1,8.659089035E-1,2.334927696E-1,1.101918364E0
1.982835417E-1,8.855294549E-1,6.136196744E-1,1.088952114E0,1.531831657E0
2.082185417E-1,5.911620540E-1,2.727872282E-1,1.532746426E0,1.665291882E0
2.181535416E-1,5.058000511E-2,-4.115591973E-2,1.661629584E0,1.662908603E0
2.280895417E-1,-1.282052099E-1,-8.038752079E-2,1.515588942E0,1.523124607E0
2.380245417E-1,1.463281340E-1,8.736354142E-2,1.267774002E0,1.279177560E0
2.479605417E-1,5.982629127E-1,2.591395345E-1,1.056768454E0,1.241705028E0
2.578955417E-1,7.595144293E-1,2.356369436E-1,8.078074604E-1,1.133551865E0
2.678315417E-1,8.572580941E-1,1.733427545E-1,8.283048749E-1,1.204586284E0
2.777665417E-1,9.676650739E-1,6.063796520E-2,1.076581160E0,1.448820089E0
2.877025417E-1,5.888352276E-1,-1.117917466E-1,1.546060537E0,1.658169926E0
2.976375417E-1,-2.773438720E-1,-3.778362581E-1,2.082673550E0,2.134762043E0
3.075735416E-1,-8.698068036E-1,-7.545185682E-1,2.479569685E0,2.733885142E0
3.175085417E-1,-1.112981758E0,-8.641994700E-1,2.929226416E0,3.250528651E0
3.274435417E-1,-1.189564277E0,-5.019284999E-1,3.446393344E0,3.680301954E0
3.373795417E-1,-9.096140631E-1,-2.290120482E-2,4.382636066E0,4.476094402E0
3.473145417E-1,-4.375911476E-1,2.561671025E-1,5.492541093E0,5.515896595E0
3.572505417E-1,5.079984214E-2,4.858650291E-1,6.158684551E0,6.178028881E0
