"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.457041600E-3,6.539701402E-1,1.463026566E0,1.637150216E-1,1.610877489E0
1.641504164E-2,5.171371078E-1,1.622167895E0,3.924154133E-1,1.747240489E0
2.637404157E-2,4.575449172E-1,1.847717807E0,6.872349501E-1,2.023783665E0
3.633304161E-2,6.080648196E-1,2.129696274E0,8.270939165E-1,2.364198255E0
4.629104165E-2,1.296313384E0,2.397574764E0,8.988877845E-1,2.869981253E0
5.625004158E-2,2.056182155E0,2.893442625E0,1.059447649E0,3.704365614E0
6.620904163E-2,2.054016931E0,3.502630695E0,8.354390627E-1,4.145523582E0
7.616704167E-2,2.508717763E0,3.711003826E0,1.135449173E0,4.621088512E0
8.612604160E-2,2.767757894E0,3.919042497E0,1.714783114E0,5.095081842E0
9.608404164E-2,2.788693265E0,4.025804468E0,2.326343983E0,5.421788273E0
1.060431249E-1,2.694638463E0,3.926065003E0,2.713964095E0,5.480936413E0
1.160021250E-1,2.354049261E0,3.688506079E0,2.637461464E0,5.109092678E0
1.259601249E-1,1.879771951E0,3.460982732E0,2.253054105E0,4.537421830E0
1.359191249E-1,1.444485922E0,3.384115235E0,1.835124074E0,4.111746086E0
1.458781250E-1,1.114325229E0,3.424630592E0,1.456176845E0,3.884619211E0
1.558361249E-1,8.123899233E-1,3.548491577E0,1.133578649E0,3.812711687E0
1.657951250E-1,7.269825679E-1,3.718451425E0,9.355790627E-1,3.902652026E0
1.757541250E-1,1.011307522E0,3.723211058E0,8.689371765E-1,3.954756036E0
1.857121249E-1,1.239364720E0,3.397824617E0,8.220109320E-1,3.709034781E0
1.956711250E-1,1.207934474E0,2.951093248E0,8.432983053E-1,3.298364608E0
2.056301249E-1,1.160535482E0,2.470888324E0,8.767397010E-1,2.867194485E0
2.155881249E-1,1.127336161E0,2.075291440E0,9.642970777E-1,2.550997890E0
2.255471250E-1,1.087316940E0,1.869361276E0,1.193231066E0,2.469933215E0
2.355061249E-1,1.232768184E0,1.717309695E0,1.500670063E0,2.592466128E0
2.454641249E-1,1.359335844E0,1.663653890E0,1.746917364E0,2.768981488E0
2.554231250E-1,1.598906502E0,1.473594239E0,1.830825055E0,2.842516907E0
2.653821249E-1,1.967061818E0,1.108794640E0,1.682370243E0,2.815870626E0
2.753401250E-1,2.199964311E0,6.412758350E-1,1.479849298E0,2.727825436E0
2.852991249E-1,2.232377474E0,4.664791703E-2,1.332752209E0,2.600367986E0
2.952581249E-1,2.057121510E0,-5.071617579E-1,1.191452050E0,2.430744730E0
3.052161250E-1,1.824086578E0,-9.938506597E-1,1.081344740E0,2.341866227E0
3.151751249E-1,1.883405703E0,-1.495273376E0,9.295722181E-1,2.578209460E0
3.251341250E-1,2.245473190E0,-1.933232167E0,6.647651236E-1,3.036683903E0
3.350921250E-1,2.416904344E0,-2.490027430E0,3.228760124E-1,3.485098582E0
3.450511249E-1,2.356220624E0,-3.141576238E0,1.497134252E-1,3.929846180E0
3.550101250E-1,2.253119009E0,-3.819881905E0,2.060845309E-1,4.439652450E0
3.649681249E-1,1.952275086E0,-4.530487007E0,3.128786623E-1,4.943134996E0
3.749271249E-1,1.437642049E0,-5.111496760E0,4.431709993E-1,5.328284369E0
3.848861250E-1,9.356746647E-1,-5.522129758E0,5.408719794E-1,5.626894938E0
3.948441249E-1,5.339909761E-1,-6.181436067E0,3.880446927E-1,6.216580805E0
4.048031250E-1,1.474514298E-2,-6.710842388E0,1.684301432E-1,6.712971897E0
4.147621250E-1,-4.216941031E-1,-7.082623562E0,4.767125286E-2,7.095326277E0
4.247201249E-1,-8.615919042E-1,-7.508128368E0,-6.141568143E-2,7.557652022E0
4.346791250E-1,-1.284199415E0,-7.838372092E0,-1.270260823E-1,7.943889527E0
4.446381249E-1,-1.580643893E0,-8.148105537E0,-2.589562243E-1,8.304042225E0
4.545961249E-1,-1.800307413E0,-8.466252540E0,-4.055253824E-1,8.665044125E0
4.645551250E-1,-1.997802092E0,-8.868777205E0,-5.412931252E-1,9.107108243E0
4.745131249E-1,-2.338292184E0,-9.213833680E0,-5.343981250E-1,9.520920269E0
4.844721250E-1,-2.779857245E0,-9.487142479E0,-4.468396155E-1,9.896117641E0
4.944311250E-1,-3.304524982E0,-9.555285346E0,-2.436558151E-1,1.011349255E1
5.043891249E-1,-3.743217891E0,-9.419386114E0,-5.096308909E-2,1.013603040E1
5.143481250E-1,-3.951498637E0,-9.261966205E0,-2.166269146E-2,1.006969854E1
5.243071249E-1,-4.002988633E0,-9.095785412E0,-2.040889128E-1,9.939762701E0
5.342651249E-1,-4.037194552E0,-8.896825129E0,-4.047822744E-1,9.778358038E0
5.442241250E-1,-4.109576650E0,-8.562778376E0,-4.850662994E-1,9.510261988E0
5.541831249E-1,-4.103008180E0,-8.306644603E0,-5.109624481E-1,9.278798592E0
5.641411250E-1,-4.002933377E0,-8.183998085E0,-5.115272892E-1,9.124853996E0
5.741001250E-1,-4.091656103E0,-8.067906296E0,-4.620048809E-1,9.057936309E0
5.840591249E-1,-4.210000532E0,-7.914332101E0,-2.855603977E-1,8.968963252E0
5.940171250E-1,-4.200208493E0,-7.799968164E0,-2.695502096E-1,8.863064484E0
6.039761249E-1,-3.649135022E0,-7.638417197E0,-6.704908633E-1,8.491829113E0
6.139351249E-1,-2.642058838E0,-7.072131318E0,-1.269901804E0,7.655597094E0
6.238931250E-1,-1.887515711E0,-6.132408918E0,-1.745938248E0,6.649620671E0
6.338521249E-1,-1.355507087E0,-5.448978167E0,-2.026953093E0,5.969698599E0
6.438111250E-1,-1.057611915E0,-4.830483084E0,-1.861446485E0,5.283662821E0
6.537691250E-1,-1.159491754E0,-4.473387192E0,-1.378215626E0,4.822353410E0
6.637281249E-1,-1.088759448E0,-3.992269517E0,-3.899964932E-1,4.156405935E0
6.736871250E-1,-5.215944403E-1,-2.716839171E0,9.564360809E-1,2.927122447E0
6.836451249E-1,6.841537598E-1,-1.490669278E0,1.859704015E0,2.479649226E0
6.936041249E-1,2.533381318E0,-7.823749959E-2,2.014211718E0,3.237466734E0
7.035631250E-1,4.565552174E0,1.359415659E0,1.325973094E0,4.944742889E0
7.135211249E-1,6.156252694E0,2.728173414E0,1.646809816E-1,6.735688327E0
7.234801250E-1,7.014789428E0,4.005684784E0,-6.804195817E-1,8.106525280E0
7.334391249E-1,7.275697453E0,4.966082354E0,-4.470710921E-1,8.820295910E0
7.433971249E-1,7.297683569E0,5.843899696E0,1.107599469E0,9.414569863E0
7.533561250E-1,7.491427551E0,6.969067125E0,3.230886610E0,1.072977221E1
7.633151249E-1,8.063522639E0,7.838075053E0,4.975508065E0,1.229680846E1
7.732731249E-1,8.630912472E0,8.385432326E0,5.929190108E0,1.341504457E1
7.832321250E-1,8.968223725E0,8.742818824E0,6.030507152E0,1.390082495E1
7.931911249E-1,9.392600019E0,8.912609687E0,5.467165346E0,1.405508604E1
8.031491250E-1,9.727507482E0,8.832886410E0,4.660640765E0,1.394151557E1
8.131081249E-1,9.865249171E0,8.895969096E0,4.043713905E0,1.388571314E1
8.230671249E-1,9.785888422E0,8.839323025E0,3.551615744E0,1.365691100E1
8.330251250E-1,9.403341354E0,8.643667004E0,3.201130714E0,1.316749960E1
8.429841249E-1,8.984348592E0,8.248972346E0,2.803832291E0,1.251501258E1
8.529421249E-1,8.724445118E0,7.750988377E0,2.021223992E0,1.184394824E1
8.629011250E-1,8.662126079E0,7.346495540E0,7.005022824E-1,1.137954869E1
8.728601249E-1,8.361716604E0,6.941876988E0,-7.073107803E-1,1.089074144E1
8.828181250E-1,8.024694788E0,6.461807719E0,-1.709709485E0,1.044383990E1
8.927771250E-1,7.328376188E0,5.914263920E0,-2.036683445E0,9.634920588E0
9.027361249E-1,6.414114904E0,5.353261585E0,-1.749849451E0,8.535821736E0
9.126941250E-1,5.603037681E0,4.801252853E0,-1.236123608E0,7.481581503E0
9.226531249E-1,5.018318455E0,4.211665235E0,-7.707378674E-1,6.596641647E0
9.326121249E-1,4.631217576E0,3.658436773E0,-4.598552983E-1,5.919780634E0
9.425701250E-1,4.513887346E0,3.189885934E0,-2.329597959E-1,5.532162463E0
9.525291249E-1,4.422793574E0,2.720193134E0,-9.660638139E-2,5.193253939E0
9.624881250E-1,3.998147723E0,2.200438812E0,-4.489462942E-2,4.563894358E0
9.724461250E-1,3.401358089E0,1.565926452E0,8.706211746E-2,3.745522970E0
9.824051249E-1,2.753463499E0,1.036035982E0,5.413030654E-2,2.942424491E0
9.923641250E-1,1.988880703E0,3.955816805E-1,-5.460597754E-2,2.028574162E0
1.002322125E0,1.309599136E0,-1.923646241E-1,-4.603483647E-2,1.324452057E0
1.012281125E0,7.538014072E-1,-5.114062518E-1,2.913112074E-2,9.113734350E-1
1.022240125E0,3.609205556E-1,-9.624704075E-1,-1.795948899E-1,1.043488024E0
1.032198125E0,2.778155413E-1,-1.296593174E0,-8.971751350E-1,1.601017975E0
1.042157125E0,1.377516299E-1,-1.681563912E0,-1.721793048E0,2.410643898E0
1.052116125E0,-1.186478993E-1,-2.405153925E0,-1.954997842E0,3.101751004E0
1.062074125E0,-2.074334836E-1,-3.109428831E0,-1.516045609E0,3.465540448E0
1.072033125E0,-4.179519582E-1,-3.711776828E0,-2.757523513E-1,3.745398566E0
1.081992125E0,-6.691050732E-1,-4.374765129E0,1.169912662E0,4.577659573E0
1.091950125E0,-9.880953915E-1,-5.106201521E0,2.451249281E0,5.749630381E0
1.101909125E0,-1.244265125E0,-5.776567254E0,3.324056144E0,6.779843228E0
1.111868625E0,-1.478204622E0,-6.286888847E0,3.892960991E0,7.540902172E0
1.121826625E0,-1.640173957E0,-6.683117230E0,4.309612529E0,8.119543501E0
1.131785625E0,-1.747927178E0,-6.993171102E0,4.507279408E0,8.501485703E0
1.141744625E0,-1.880653711E0,-7.270690482E0,4.510437197E0,8.760356281E0
1.151702625E0,-2.049108486E0,-7.447321419E0,4.436861975E0,8.907703749E0
1.161661625E0,-2.257460859E0,-7.512134296E0,4.324541640E0,8.957117371E0
1.171620625E0,-2.442766432E0,-7.684729484E0,4.199522322E0,9.091653470E0
1.181578625E0,-2.622687305E0,-7.820799454E0,4.028764037E0,9.180105254E0
1.191537625E0,-2.651301531E0,-7.916397337E0,3.744827922E0,9.149999059E0
1.201496625E0,-2.333826081E0,-7.866901242E0,3.441971972E0,8.898429658E0
1.211454625E0,-2.161146985E0,-8.046432397E0,3.055443536E0,8.874196629E0
1.221413625E0,-1.974562626E0,-8.059690958E0,2.820651222E0,8.764336211E0
1.231372625E0,-1.988795334E0,-7.830223997E0,2.599403984E0,8.486731750E0
1.241330625E0,-2.331418051E0,-7.747388247E0,2.476675313E0,8.461173404E0
1.251289625E0,-2.747294978E0,-7.768827063E0,2.555656286E0,8.627495737E0
1.261248625E0,-3.200191652E0,-7.783718167E0,2.890275481E0,8.898381171E0
1.271206625E0,-3.577385593E0,-7.549786271E0,3.324027785E0,8.991447111E0
1.281165625E0,-3.813548494E0,-7.254449841E0,3.641063526E0,8.968140175E0
1.291124625E0,-3.649577072E0,-7.037282497E0,3.919014722E0,8.843157476E0
1.301082625E0,-3.317593802E0,-6.493646393E0,4.231707736E0,8.430968062E0
1.311041625E0,-2.921401087E0,-6.261556370E0,3.969318903E0,7.968510842E0
1.321000625E0,-2.592352827E0,-6.429432271E0,2.939138031E0,7.529702840E0
1.330958625E0,-2.220573407E0,-6.153312129E0,2.003488802E0,6.841649202E0
1.340917625E0,-1.813991067E0,-5.372432851E0,1.131276892E0,5.782160992E0
1.350876625E0,-1.448624728E0,-4.607531675E0,5.512313452E-1,4.861246520E0
1.360834625E0,-1.137724617E0,-3.998855236E0,4.297051540E-1,4.179701786E0
1.370793625E0,-1.122031275E0,-3.670825853E0,9.653966466E-1,3.958018104E0
1.380751625E0,-1.434170264E0,-3.346584882E0,2.092053069E0,4.199185726E0
1.390710625E0,-1.358655521E0,-2.859663845E0,2.988684998E0,4.353832811E0
1.400669625E0,-8.526547274E-1,-2.344932282E0,3.011221336E0,3.910649745E0
1.410627625E0,-1.386193568E-1,-1.485722533E0,2.347905006E0,2.781949800E0
1.420586625E0,9.147243834E-1,-3.711017275E-1,1.179799426E0,1.538299020E0
1.430545625E0,2.274384456E0,8.292006683E-1,-2.742589724E-1,2.436312046E0
1.440503625E0,3.509816631E0,1.943640211E0,-1.329425143E0,4.226573229E0
1.450462625E0,3.992285305E0,2.868313047E0,-1.556471504E0,5.156371324E0
1.460421625E0,3.793113937E0,3.265833079E0,-9.382803302E-1,5.092518926E0
1.470379625E0,3.444483644E0,3.515712086E0,1.981375802E-1,4.925845871E0
1.480338625E0,3.716535877E0,4.241981294E0,7.868761826E-1,5.694402370E0
1.490297625E0,4.739592209E0,5.338746457E0,3.341976106E-1,7.146861975E0
1.500255625E0,6.242372825E0,6.587495373E0,-7.874772763E-1,9.109469482E0
1.510214625E0,7.800365190E0,7.757317988E0,-2.198886230E0,1.121859083E1
1.520173625E0,9.310476460E0,8.610623218E0,-3.653340340E0,1.319752627E1
1.530131625E0,1.027684170E1,9.241143100E0,-4.970619793E0,1.468738446E1
1.540090625E0,1.049025571E1,9.366594527E0,-5.832961310E0,1.522504501E1
1.550049625E0,1.006415741E1,9.049512886E0,-5.708516189E0,1.468904711E1
1.560007625E0,9.243605363E0,8.535897557E0,-4.706575906E0,1.343345242E1
1.569966625E0,8.448505071E0,8.282670434E0,-3.637142383E0,1.237774908E1
1.579925625E0,8.228795359E0,8.224961924E0,-3.056345176E0,1.202931077E1
1.589883625E0,8.296988511E0,8.044135610E0,-2.982343107E0,1.193492800E1
1.599842625E0,8.289055594E0,7.746697106E0,-3.263894727E0,1.180562440E1
1.609801625E0,7.921273330E0,7.315578972E0,-3.572154089E0,1.135889747E1
