"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.300208326E-3,1.739830247E-1,4.503408551E-1,-1.162698367E0,1.258945778E0
1.423520833E-2,2.759591234E-1,4.837916064E-1,-1.394724070E0,1.501819892E0
2.417120835E-2,2.376184188E-1,4.775438565E-1,-1.285804476E0,1.392050214E0
3.410620833E-2,-1.273317455E-1,5.653228426E-1,-1.139831076E0,1.278678291E0
4.404120834E-2,-2.157261510E-1,5.063647825E-1,-9.914883846E-1,1.134015997E0
5.397720833E-2,6.489532292E-2,2.697928691E-1,-6.027613950E-1,6.635667973E-1
6.391220834E-2,2.345745045E-1,8.815203846E-2,-2.380746478E-1,3.456523079E-1
7.384820833E-2,5.517021923E-1,7.064079702E-2,-2.329086328E-1,6.030023734E-1
8.378320833E-2,7.831153996E-1,4.257299244E-1,-1.095978713E-1,8.980687007E-1
9.371920835E-2,9.855756070E-1,5.161594534E-1,-2.206657326E-1,1.134228030E0
1.036542083E-1,6.680728204E-1,5.060706675E-1,-5.465369081E-1,1.000565543E0
1.135902083E-1,4.345103227E-1,4.473184294E-1,-8.279838628E-1,1.036556933E0
1.235252083E-1,4.123114416E-1,4.800137204E-1,-9.587018770E-1,1.148705004E0
1.334602083E-1,4.682024179E-1,5.305675775E-1,-9.744460899E-1,1.204267678E0
1.433962083E-1,4.450360418E-1,5.027400935E-1,-7.932800531E-1,1.039277597E0
1.533312083E-1,4.611298451E-1,4.195564342E-1,-5.422017825E-1,8.262270320E-1
1.632672084E-1,4.902559226E-1,3.100737530E-1,-4.322536629E-1,7.234223048E-1
1.732022083E-1,5.504832671E-1,2.200248778E-1,-3.557621419E-1,6.913822935E-1
1.831382083E-1,5.528365521E-1,1.857637024E-1,-3.168728954E-1,6.637355183E-1
1.930732083E-1,5.295736970E-1,2.739835685E-1,-4.053248960E-1,7.209740409E-1
2.030082083E-1,6.529045583E-1,3.541845632E-1,-5.400079072E-1,9.183352366E-1
2.129442083E-1,7.988634863E-1,4.611932874E-1,-6.538526112E-1,1.130665890E0
2.228792083E-1,8.833853540E-1,6.520750576E-1,-8.993970770E-1,1.419326131E0
2.328152084E-1,1.015729917E0,8.894714284E-1,-1.242885913E0,1.835110918E0
2.427502083E-1,1.132394441E0,1.097897769E0,-1.521300502E0,2.191358460E0
2.526862083E-1,1.213890886E0,1.266830261E0,-1.818370047E0,2.526827977E0
2.626212083E-1,1.363423340E0,1.434597403E0,-2.151291795E0,2.923191630E0
2.725562083E-1,1.445018604E0,1.632537640E0,-2.495907390E0,3.314032530E0
2.824922083E-1,1.412773840E0,1.750251739E0,-2.927092182E0,3.691501011E0
2.924272083E-1,1.379480964E0,1.898644717E0,-3.133969595E0,3.915301382E0
3.023632083E-1,1.821990351E0,2.576391682E0,-2.643753653E0,4.116658392E0
3.122982083E-1,2.235351368E0,2.764483746E0,-2.224477301E0,4.193741215E0
3.222342083E-1,2.621047453E0,2.749037449E0,-1.926396187E0,4.258884703E0
3.321692083E-1,2.966100712E0,2.871076733E0,-1.641376584E0,4.442403868E0
3.421042083E-1,3.107525270E0,2.977066872E0,-1.400360786E0,4.525555303E0
3.520402084E-1,2.877965046E0,3.246605388E0,-1.408348668E-1,4.340848282E0
3.619752083E-1,2.759495486E0,3.293943861E0,2.299483044E0,4.873654047E0
3.719112083E-1,2.964950272E0,2.795124325E0,4.532604284E0,6.094928359E0
3.818462083E-1,3.041051491E0,2.064437985E0,5.924299496E0,6.971888043E0
3.917822083E-1,2.668544970E0,1.573292482E0,6.794234793E0,7.467128492E0
4.017172083E-1,1.840508921E0,1.368941650E0,7.300311307E0,7.652190504E0
