"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.964416669E-3,-5.490418553E-1,7.173410940E-1,-2.161869993E0,2.343012393E0
1.789941668E-2,-7.231139039E-1,6.138126326E-1,-1.759891459E0,1.999219251E0
2.783541667E-2,-7.159873174E-1,5.535746169E-1,-1.454572662E0,1.713144571E0
3.777041667E-2,-6.840587425E-1,5.214190239E-1,-1.284243270E0,1.545669737E0
4.770641669E-2,-6.866670392E-1,4.508899087E-1,-1.159686466E0,1.421156583E0
5.764141667E-2,-7.177520071E-1,3.862056702E-1,-1.165904980E0,1.422553052E0
6.757741669E-2,-6.351776277E-1,4.328910094E-1,-1.518071085E0,1.701583105E0
7.751241667E-2,-5.259987094E-1,2.706126487E-1,-1.775944989E0,1.871867103E0
8.744841669E-2,-4.367892019E-1,8.961267292E-2,-1.642223845E0,1.701679875E0
9.738341667E-2,-1.718552960E-1,2.177093804E-2,-1.201205791E0,1.213632386E0
1.073194167E-1,2.371868943E-1,-5.270709425E-2,-8.234756595E-1,8.585731316E-1
1.172544167E-1,7.919039109E-1,-1.405658948E-1,-3.772565067E-1,8.883653791E-1
1.271904167E-1,1.252943709E0,-3.224499696E-1,4.721802056E-2,1.294631786E0
1.371254167E-1,1.530318370E0,-4.528928724E-1,2.825637728E-1,1.620749380E0
1.470614167E-1,1.482630526E0,-3.952290934E-1,4.460712183E-1,1.597929549E0
1.569964167E-1,1.236274174E0,-1.439160571E-1,3.599089873E-1,1.295615739E0
1.669324167E-1,8.903623979E-1,2.540530416E-1,2.199781001E-2,9.261598410E-1
1.768674167E-1,4.995753976E-1,5.368457329E-1,-3.049246949E-1,7.942027376E-1
1.868034167E-1,-3.952410802E-2,3.620724571E-1,-5.566771495E-1,6.652428640E-1
1.967384167E-1,-3.664505598E-1,1.596038443E-1,-5.311341727E-1,6.647276956E-1
