"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.175458336E-3,-5.312177879E-1,7.486108339E-1,-1.293679506E0,1.586258864E0
1.411045835E-2,-5.721792877E-1,3.917716348E-1,-1.452997422E0,1.609992440E0
2.404545835E-2,-5.886394921E-1,1.239182872E-1,-1.813379449E0,1.910548931E0
3.398145834E-2,-5.807755718E-1,1.081407452E-1,-2.192288963E0,2.270490164E0
4.391645835E-2,-6.585268754E-1,3.584547848E-1,-2.276401160E0,2.396695584E0
5.385145833E-2,-1.441122311E-1,5.910342193E-1,-2.187945067E0,2.270945486E0
6.378745835E-2,7.233654803E-1,5.555252481E-1,-1.961659575E0,2.163324804E0
7.372245836E-2,1.305205684E0,7.953762800E-1,-1.655260797E0,2.253014339E0
8.365845834E-2,1.575195019E0,8.399361563E-1,-1.323019665E0,2.221961550E0
9.359345835E-2,1.345842517E0,7.309715384E-1,-8.979943299E-1,1.775388771E0
1.035284583E-1,5.079505473E-1,6.528387040E-1,-8.896947920E-2,8.319421255E-1
1.134644584E-1,-3.133978951E-1,1.033246860E-1,5.528255886E-1,6.438247920E-1
1.233994583E-1,-3.698859452E-1,-6.565744901E-1,4.856200308E-1,8.965112870E-1
1.333344583E-1,2.258532362E-1,-1.299946844E0,3.088470072E-1,1.355085959E0
1.432704584E-1,1.028060672E0,-1.444471889E0,2.070405507E-1,1.785013606E0
1.532054583E-1,1.489865578E0,-1.095524677E0,8.495559955E-1,2.035096840E0
1.631414584E-1,1.389660089E0,-8.357679686E-1,1.731096261E0,2.371994419E0
1.730764583E-1,1.147195206E0,-1.159767304E0,2.947446340E0,3.368761934E0
1.830114583E-1,1.757202178E0,-1.113433090E0,2.646248660E0,3.366025061E0
1.929474583E-1,1.674846631E0,-5.181391744E-1,2.875220363E0,3.367561666E0
2.028824583E-1,1.060704215E0,-2.490346688E-1,2.607685688E0,2.826152216E0
2.128174583E-1,4.732251761E-1,-9.610602053E-1,2.404320112E0,2.632172865E0
2.227536667E-1,2.296908734E-1,-4.561971340E-1,1.613093017E0,1.692023287E0
2.326886667E-1,9.352469409E-1,4.986945511E-1,1.515014745E0,1.848959917E0
2.426246667E-1,1.360137790E0,1.132866896E0,2.270747488E0,2.879176334E0
2.525596667E-1,1.712406951E0,1.547102657E0,2.408571623E0,3.335728025E0
2.624946667E-1,2.072183353E0,1.668535000E0,2.249981101E0,3.484303065E0
2.724306667E-1,2.412239435E0,1.625026307E0,2.214193802E0,3.655443035E0
2.823656667E-1,2.495906513E0,1.545500958E0,2.295689371E0,3.726702593E0
2.923006667E-1,2.263639905E0,1.497025494E0,1.843202003E0,3.280631733E0
3.022366667E-1,3.071240520E-1,8.402283709E-1,1.449335895E0,1.703198002E0
3.121716667E-1,-1.812099786E0,-5.523005086E-1,1.352375026E0,2.327586668E0
3.221066667E-1,-2.112404303E0,-1.599210557E0,8.287276286E-1,2.776061208E0
3.320426667E-1,-5.983702091E-1,-1.672691055E0,8.315378004E-1,1.961478367E0
3.419776667E-1,4.811009371E-1,-9.712739754E-1,1.253134913E0,1.656857977E0
3.519136667E-1,1.081819096E0,-8.911010474E-2,2.086330399E0,2.351817956E0
3.618486667E-1,1.354557061E0,5.643454805E-1,3.027364914E0,3.364260539E0
3.717836667E-1,1.064587717E0,5.974056378E-1,3.386155913E0,3.599485015E0
3.817196667E-1,3.325163168E-1,3.033944786E-2,2.923915974E0,2.942918995E0
3.916546667E-1,-1.170951895E-1,4.290295082E-1,1.879685705E0,1.931578616E0
