"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.778333344E-3,-9.258551431E-1,-3.750833890E-1,-1.528766811E0,1.826204605E0
1.871433335E-2,-1.029459618E0,-8.195574403E-1,-2.234580120E0,2.593223827E0
2.865033333E-2,-1.161207912E0,-9.820846000E-1,-2.773577628E0,3.163167216E0
3.858633334E-2,-1.368473873E0,-9.998215440E-1,-3.079192879E0,3.514796246E0
4.852233334E-2,-1.451928258E0,-9.683886668E-1,-3.167100504E0,3.616130235E0
5.845933333E-2,-1.487851505E0,-9.479669738E-1,-3.045812294E0,3.519846022E0
6.839533334E-2,-1.383624009E0,-1.060099613E0,-2.832929791E0,3.326216738E0
7.833133334E-2,-9.003077808E-1,-8.921143699E-1,-2.532791626E0,2.832217430E0
8.826733334E-2,-4.658538106E-1,-1.057566307E0,-2.272470662E0,2.549429186E0
9.820333334E-2,-2.034336957E-1,-7.625918189E-1,-2.224589567E0,2.360451290E0
1.081393333E-1,4.285892129E-2,2.187393674E-1,-2.068750160E0,2.080723678E0
1.180763333E-1,3.462080839E-1,6.867873457E-1,-1.680806113E0,1.848417184E0
1.280123333E-1,5.525966701E-1,5.795953113E-1,-1.005860256E0,1.285709399E0
1.379483333E-1,2.426150107E-1,-1.415467653E-1,1.476386869E-1,3.173243011E-1
1.478843333E-1,-3.229297337E-1,-9.829055491E-1,9.022084183E-1,1.372722463E0
1.578203333E-1,-4.218571673E-1,-1.566640543E0,9.041953021E-1,1.857389352E0
1.677563333E-1,-5.308307022E-1,-1.712101288E0,5.843034893E-1,1.885333557E0
1.776924583E-1,-9.703264341E-1,-1.574906021E0,2.691426587E-1,1.869304719E0
1.876284583E-1,-1.385034796E0,-1.259990481E0,5.309950089E-1,1.946240760E0
1.975644583E-1,-9.142947592E-1,-1.131522621E0,5.573437321E-1,1.557854417E0
2.075004583E-1,-1.261794932E0,-1.344422375E0,5.371451104E-1,1.920448604E0
2.174364583E-1,-1.486059041E0,-1.375829524E0,1.545122058E0,2.547288858E0
2.273724583E-1,-2.193509862E-1,-4.035117475E-1,9.260685664E-1,1.033701879E0
2.373094583E-1,3.404108620E-1,4.434855795E-1,8.026700968E-1,9.781811174E-1
2.472454583E-1,2.963746038E-1,8.326473827E-1,7.686363780E-1,1.171299044E0
2.571814583E-1,1.125225024E-1,8.210706997E-1,3.478181148E-1,8.987746372E-1
2.671174583E-1,-5.526057333E-2,5.988458070E-1,2.272233850E-1,6.428845139E-1
2.770534583E-1,-4.883574048E-1,2.687500913E-1,6.306514442E-2,5.609784121E-1
2.869894583E-1,-7.317515570E-1,-2.063964799E-1,-3.479239494E-1,8.361285324E-1
2.969254583E-1,-1.220357176E0,-3.168158850E-1,-8.262846619E-1,1.507444952E0
3.068624583E-1,-1.656812063E0,-4.699250076E-1,-1.241727580E0,2.123144627E0
3.167984583E-1,-2.026641437E0,-9.584134631E-1,-1.877851433E0,2.924407271E0
3.267344583E-1,-2.612875677E0,-4.750377764E-1,-2.772031624E0,3.838872167E0
3.366704583E-1,-2.647273385E0,2.561157566E-1,-2.663269320E0,3.763861730E0
3.466064583E-1,-2.356324997E0,5.064766105E-1,-1.970146809E0,3.112918967E0
3.565424583E-1,-2.295097048E0,5.518755622E-1,-8.863800055E-1,2.521449307E0
3.664794583E-1,-1.567958651E0,2.120187239E-1,2.685883427E-1,1.604863225E0
3.764154583E-1,-1.400691446E0,-4.462741166E-2,6.348462367E-1,1.538492079E0
3.863514583E-1,-7.879134786E-1,-6.155872625E-1,2.373437458E-1,1.027661122E0
3.962874583E-1,-1.180383271E-1,-9.903490546E-1,6.264589906E-2,9.993241743E-1
4.062234583E-1,-1.212314916E-1,-4.220216203E-1,3.452114260E-1,5.585429717E-1
4.161594583E-1,-3.973475397E-1,2.250508520E-1,-5.481296897E-2,4.599319676E-1
