"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.504958324E-3,8.660099141E-1,5.597662336E-1,2.805131543E-1,1.068643550E0
1.343995833E-2,9.376096545E-1,8.620181662E-1,-2.270199019E-1,1.293725326E0
2.337595832E-2,9.831150256E-1,1.183854178E0,-6.931880003E-1,1.687760490E0
3.331095833E-2,8.914605050E-1,1.247591168E0,-1.060602474E0,1.864420328E0
4.324695832E-2,7.432160465E-1,7.481214219E-1,-1.367857284E0,1.727162211E0
5.318195833E-2,7.159877560E-1,3.252256429E-1,-1.417891324E0,1.621365471E0
6.311795831E-2,6.884564334E-1,6.421266049E-2,-1.115028942E0,1.312015650E0
7.305395833E-2,5.458405048E-1,-2.048785427E-1,-1.047322862E0,1.198666864E0
8.298895831E-2,3.479593250E-1,-1.924464852E-1,-1.318514385E0,1.377167937E0
9.292495833E-2,2.143016231E-1,2.416268313E-1,-1.523650498E0,1.557504270E0
1.028599583E-1,-4.551092595E-2,5.314803278E-1,-1.766480101E0,1.845262727E0
1.127959583E-1,-1.282427417E-1,5.355494052E-1,-1.782992638E0,1.866098099E0
1.227309583E-1,1.153711197E-1,6.940963653E-1,-1.581871224E0,1.731299174E0
1.326669583E-1,2.019134928E-1,8.572798750E-1,-1.080094167E0,1.393664684E0
1.426029583E-1,3.797233008E-2,9.693783081E-1,-1.047883610E0,1.428004294E0
1.525379583E-1,-9.524763465E-2,7.696786442E-1,-9.548690271E-1,1.230143157E0
1.624739583E-1,1.628405705E-1,4.555258736E-1,-4.516933161E-1,6.618517392E-1
1.724089583E-1,1.214331986E0,7.254848036E-1,4.793009448E-1,1.493539343E0
1.823449583E-1,1.244874844E0,1.451376573E0,7.757366520E-1,2.063486052E0
1.922799583E-1,1.139223185E0,4.216833588E-1,3.705175906E-1,1.270011656E0
2.022159583E-1,1.086650211E0,-5.308190078E-1,-1.012129641E-1,1.213598601E0
2.121509583E-1,5.530858628E-1,-1.813674733E-1,-1.102381414E-1,5.924108201E-1
2.220869583E-1,-4.790799201E-2,3.715636575E-1,3.486215222E-1,5.117535472E-1
2.320229583E-1,-1.943220527E-1,2.676144889E-1,6.852644384E-1,7.608981044E-1
2.419579583E-1,-1.511729633E-1,-1.013033035E-1,7.018453878E-1,7.250534963E-1
2.518939583E-1,-2.584538023E-1,-2.420451996E-1,4.620884961E-1,5.821597932E-1
2.618289583E-1,-6.158882479E-1,-2.073282337E-1,5.402359486E-2,6.520903919E-1
2.717649583E-1,-7.081929789E-1,5.145014754E-1,1.127273011E-1,8.825851279E-1
2.816999583E-1,3.570701641E-1,1.764026025E0,5.456411147E-1,1.880694325E0
2.916359583E-1,2.610950773E0,2.670858421E0,8.452658933E-1,3.829493841E0
3.015719583E-1,3.814160405E0,2.196857685E0,1.206706851E0,4.564005336E0
3.115069583E-1,3.723179776E0,2.122467361E0,2.434645527E0,4.928938444E0
3.214429583E-1,3.645030569E0,2.522574787E0,3.376649510E0,5.572377708E0
3.313779583E-1,3.562991502E0,2.469261044E0,3.433586188E0,5.530069860E0
3.413139583E-1,3.171739977E0,2.677720421E0,3.371357195E0,5.347538731E0
3.512489583E-1,2.574967301E0,3.025874166E0,3.442996697E0,5.257432579E0
3.611849583E-1,1.886167051E0,2.845208359E0,3.664548867E0,5.008168842E0
3.711199583E-1,1.249150328E0,2.157057004E0,3.980819499E0,4.696828222E0
3.810559583E-1,6.336301620E-1,1.495012297E0,3.890618012E0,4.215857857E0
3.909919583E-1,-1.637490634E-1,1.246928678E0,3.418609130E0,3.642599795E0
4.009269583E-1,-7.342114806E-1,1.196164760E0,2.719807218E0,3.060592742E0
4.108629583E-1,-9.684597836E-1,1.291515159E0,1.833791494E0,2.443095782E0
4.207979583E-1,-9.062361266E-1,1.350500409E0,1.122726801E0,1.976266870E0
4.307339583E-1,-6.017023546E-1,1.305636039E0,6.316437167E-1,1.570256340E0
4.406689583E-1,-2.883637722E-1,1.396799978E0,6.581362814E-1,1.570779173E0
4.506049583E-1,1.287124924E-1,1.278883127E0,2.181640599E0,2.532126510E0
4.605409583E-1,5.209253727E-1,1.953551826E-1,3.445260154E0,3.489891749E0
4.704759583E-1,2.855801686E-1,-1.102993325E0,4.740613718E0,4.875609575E0
4.804119583E-1,-5.847348311E-1,-1.312324230E0,6.945713931E0,7.092746416E0
4.903469583E-1,-1.788487705E0,-1.833509950E0,8.319554670E0,8.704908783E0
5.002829583E-1,-2.149137389E0,-3.006468135E0,9.312931706E0,1.001939814E1
5.102179583E-1,-1.953201870E0,-4.145220984E0,9.909119661E0,1.091734890E1
5.201539583E-1,-1.531088448E0,-5.042972070E0,1.027083778E1,1.154408540E1
5.300899583E-1,-1.141914366E0,-6.064670094E0,1.018294945E1,1.190700009E1
5.400249583E-1,-8.383397202E-1,-7.098536174E0,1.013955141E1,1.240574593E1
5.499609583E-1,-5.328047222E-1,-8.459030060E0,1.075367044E1,1.369235182E1
5.598959583E-1,2.465932735E-1,-1.010781507E1,1.158648703E1,1.537775716E1
5.698319583E-1,1.145084069E0,-1.164758341E1,1.181832679E1,1.663280689E1
5.797669583E-1,1.619992731E0,-1.301858474E1,1.129608155E1,1.731211667E1
5.897029583E-1,1.926555377E0,-1.415930284E1,1.024423061E1,1.758242683E1
5.996379583E-1,1.607776144E0,-1.528142095E1,8.616248825E0,1.761665445E1
6.095739583E-1,5.972402347E-1,-1.589545812E1,6.383877198E0,1.713990002E1
6.195099583E-1,-1.270211121E-1,-1.637292888E1,4.088522873E0,1.687616526E1
6.294449583E-1,-1.163970868E-1,-1.671782105E1,2.265429153E0,1.687101829E1
6.393809583E-1,2.470842569E-1,-1.684347888E1,1.037832831E0,1.687723107E1
6.493159583E-1,6.269082029E-1,-1.654789161E1,1.335562527E-2,1.655976778E1
6.592519583E-1,9.695263888E-1,-1.600907185E1,-1.016545458E0,1.607058579E1
6.691864583E-1,1.738716060E0,-1.539619127E1,-1.285874058E0,1.554732489E1
6.791224583E-1,2.077980283E0,-1.444019607E1,-2.983999331E-1,1.459199462E1
6.890584583E-1,1.852981909E0,-1.385416122E1,-1.348239291E-1,1.397817951E1
6.989934583E-1,1.525082627E0,-1.347469797E1,-7.810792530E-1,1.358320460E1
7.089294583E-1,3.872793652E-1,-1.317259339E1,-1.945110201E0,1.332106060E1
7.188644583E-1,-4.732327044E-2,-1.266291265E1,-3.366416298E0,1.310283767E1
7.288004583E-1,5.570652585E-1,-1.177702673E1,-3.728941330E0,1.236582726E1
7.387354583E-1,1.760756993E0,-1.066986113E1,-3.906535010E0,1.149813974E1
