"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.096666653E-3,-8.124989739E-1,1.290158313E0,2.945657676E-1,1.552878632E0
1.303166666E-2,-8.873388027E-1,1.169527330E0,-7.236163259E-2,1.469830103E0
2.296766665E-2,-8.498466021E-1,1.122450228E0,-3.267330551E-1,1.445298672E0
3.290266666E-2,-5.625040461E-1,1.232342214E0,-3.745135778E-1,1.405467379E0
4.283866665E-2,-4.207713394E-1,1.435971499E0,-4.803411645E-1,1.571556649E0
5.277366666E-2,-6.552878103E-1,1.923141627E0,-9.320286334E-1,2.235297118E0
6.270966664E-2,-1.270556107E0,2.264499153E0,-1.741180953E0,3.126336570E0
7.264466665E-2,-2.221587460E0,1.946533998E0,-2.460821173E0,3.844487780E0
8.258066667E-2,-2.548164541E0,2.079462552E0,-2.196102517E0,3.954765897E0
9.251566665E-2,-2.578852191E0,2.439767103E0,-8.812151599E-1,3.657797465E0
1.024516667E-1,-2.630163555E0,2.138357462E0,8.381691277E-2,3.390775462E0
1.123866666E-1,-2.406943320E0,1.691063006E0,-1.260554445E-1,2.944309802E0
1.223226667E-1,-1.086887901E0,1.385190185E0,-1.379790866E-1,1.766101749E0
1.322576666E-1,-3.415556006E-2,7.679703802E-1,-3.634746194E-2,7.695883608E-1
1.421936667E-1,1.143365280E0,5.109525079E-1,-9.352036715E-2,1.255827491E0
1.521286667E-1,1.754676473E0,3.277294207E-1,-1.002139088E0,2.047090338E0
1.620646667E-1,2.118096860E0,2.637094259E-2,-1.468799522E0,2.577673713E0
1.719996667E-1,2.190910774E0,-2.886472160E-1,-1.946660882E0,2.944978069E0
1.819356667E-1,2.141558228E0,-5.778472862E-1,-2.283716612E0,3.183636395E0
1.918706667E-1,2.189062470E0,-1.011186777E0,-2.227299167E0,3.282583552E0
2.018066666E-1,2.352033872E0,-1.794969198E0,-1.042462072E0,3.136989787E0
2.117416667E-1,2.952686030E0,-2.490247285E0,1.001625702E0,3.990355921E0
2.216776666E-1,3.590941193E0,-2.439456908E0,1.109103958E0,4.480616057E0
2.316126667E-1,3.365815204E0,-2.222121457E0,1.182664270E0,4.203002562E0
2.415486666E-1,2.063586484E0,-1.571445346E0,1.027914199E0,2.790060439E0
2.514836667E-1,7.530195614E-1,-1.348563811E0,4.126912183E-1,1.598742273E0
2.614196666E-1,1.680151371E-1,-1.177815759E0,-1.634472191E-2,1.189851334E0
2.713546666E-1,-5.673586969E-1,1.628636670E-1,3.377603191E-1,6.800753621E-1
2.812906667E-1,-9.193967472E-1,9.886305580E-1,1.037024161E0,1.702380648E0
2.912256666E-1,-7.875961210E-1,8.909098434E-1,1.073911321E0,1.602283846E0
3.011616667E-1,-7.739745936E-1,2.372127682E-1,5.145596552E-1,9.592070724E-1
3.110966666E-1,-1.074467830E0,-5.198180562E-1,4.253469318E-1,1.267127437E0
3.210326667E-1,-1.498749838E0,-1.160342816E0,8.068081713E-1,2.059996590E0
3.309686666E-1,-1.626311525E0,-1.303566563E0,1.201385300E0,2.405722677E0
3.409036667E-1,-7.229613646E-1,-7.521437216E-1,9.681585789E-1,1.423279434E0
3.508396666E-1,4.581925694E-1,4.184124264E-1,-6.131969208E-1,8.723645183E-1
3.607746667E-1,6.717435562E-1,1.278432599E0,-1.166560453E0,1.856473163E0
3.707106666E-1,7.493803275E-1,9.366713226E-1,-1.950569746E0,2.289900953E0
3.806456666E-1,2.617339624E-1,7.923412827E-1,-2.903642508E0,3.021166859E0
3.905816667E-1,-4.343377568E-1,9.577748010E-1,-3.286193669E0,3.450369645E0
4.005166666E-1,-6.509265914E-1,1.144018852E0,-3.288379943E0,3.542023039E0
4.104526667E-1,-5.633047492E-1,1.297192513E0,-1.957929052E0,2.415265374E0
4.203876666E-1,-9.539644629E-2,1.044922872E0,-9.447287858E-2,1.053512893E0
4.303236667E-1,-4.350136949E-1,4.258448222E-1,6.588153770E0,6.616218771E0
4.402586666E-1,1.564057828E0,-1.610614821E0,4.602038215E0,5.120460206E0
4.501946667E-1,3.476867863E0,-5.099236903E-1,3.074724437E0,4.669321436E0
4.601296667E-1,4.054837064E0,3.595942609E-1,2.500116801E0,4.777195376E0
4.700656667E-1,4.242666880E0,7.338186939E-1,4.648542291E-1,4.330681422E0
4.800006667E-1,2.991636672E0,1.618542768E0,9.527903420E-1,3.532333521E0
4.899366667E-1,1.994337471E0,1.734371871E0,1.154474258E0,2.884135667E0
4.998716667E-1,1.973811843E0,1.232643492E0,1.395612262E0,2.713498988E0
5.098076666E-1,2.585500183E0,1.024029602E0,1.390402978E0,3.109126607E0
5.197426667E-1,2.857162699E0,9.462259653E-1,1.433720321E0,3.333808066E0
5.296786666E-1,2.266644204E0,3.529905617E-1,1.368971179E0,2.671396708E0
5.396136667E-1,1.667362341E0,-3.302682817E-2,1.351171669E0,2.146358038E0
5.495496666E-1,1.006379050E0,-1.950878187E-1,1.364424968E0,1.706608785E0
5.594846666E-1,2.512087732E-1,-5.580788733E-1,1.116538693E0,1.273270014E0
5.694206667E-1,-6.862936214E-1,-1.154277938E0,5.626606053E-1,1.456002558E0
5.793556666E-1,-1.596314724E0,-1.632542172E0,4.659698778E-1,2.330352455E0
5.892916667E-1,-2.383321299E0,-2.033110065E0,8.676086891E-1,3.250615602E0
5.992266666E-1,-2.586391591E0,-2.065614006E0,7.056069016E-2,3.310764488E0
6.091626667E-1,-2.179215905E0,-1.682387200E0,-8.062965399E-1,2.868714479E0
6.190976666E-1,-1.802478485E0,-1.282127162E0,-7.608250827E-1,2.339152315E0
6.290336667E-1,-1.458006731E0,-9.278379339E-1,-5.059315038E-1,1.800731392E0
6.389686667E-1,-1.238944598E0,-7.274646708E-1,-1.423797011E-1,1.443766097E0
6.489046667E-1,-1.106608293E0,-4.429941210E-1,4.172327507E-1,1.262897016E0
6.588396667E-1,-9.831688200E-1,-7.919615060E-2,1.199944546E0,1.553306110E0
6.687762917E-1,-9.004324727E-1,-1.185230613E-3,1.913620021E0,2.114880996E0
